,Address,Location,Bedroom,Bathroom,PropertyType,Price,Predictions
0,"10 Killarney Street, Dublin 1, North Strand, Dublin 3",1,0,0,0,900,1
1,"Kimmage Road West, Kimmage, Dublin 12",6,1,1,1,920,4
2,"Quay Street, Balbriggan, Co. Dublin",5,1,1,1,1100,5
3,"Flat 4, 6 Waverley Terrace, Kenilworth Square Nort, Dublin 6W",4,1,1,1,1100,4
4,"Wellmount Court, Finglas West, Finglas, Dublin 11",6,0,0,0,1100,2
5,"Flat 8, 57 Rathmines Road Upper, Rathmines, Dublin 6",5,0,0,0,1122,5
6,"Naas Road, Bluebell, Dublin 12",6,0,0,0,1040,4
7,"Old Bawn, Tallaght, Dublin 24",6,1,1,1,1200,6
8,"Lambay Road, Drumcondra, Dublin 3",3,1,1,1,1120,3
9,"Ranelagh Road, Ranelagh, Dublin 6",5,0,0,0,1140,5
10,90 Drumcondra Road Upper,5,1,1,1,1240,5
11,"Apartment 2, 26 Marlborough Street, Dublin 1",1,1,1,1,1300,1
12,"Carnegie Court Apartments, Swords, Co. Dublin",5,1,1,1,1300,5
13,"66 Blessington Street, Dublin 7, Phibsborough, Dublin 7",1,0,0,0,1300,1
14,"Forest Hills, Rathcoole, Co. Dublin",5,1,1,1,1300,5
15,"Beverton Court, Donabate, Co. Dublin",5,1,1,1,1300,5
16,"North Circular Road, Dublin 7",1,1,1,1,1305,1
17,"2A, 72 Drumcondra Road Lower",5,1,1,1,1319,5
18,"2 Bedroom Apartment, Number 1 Ballsbridge, Shelbourne Road, Dublin 4",1,2,3,1,4000,1
19,"Apartment 704, Longboat Quay North Apartments, Sir, Grand Canal Dock, Dublin 2",1,2,2,1,3950,1
20,"Rathvilly Drive, Finglas, Dublin 11",6,4,2,2,3500,2
21,"Apartment 17, Saint Jamess Court, Dublin 8",1,2,1,1,2500,1
22,"40 Castlewood Avenue, Dublin 6",5,2,1,1,4100,5
23,"Apartment 80, Poplar, Trimbleston, Goatstown Road, Dublin 14",6,2,2,1,2750,5
24,"7 Birch Dale, Westminster Park, Dublin 18, Dublin 18",6,4,3,2,4000,5
25,"Apartment 10, The Pine, Trimbleston, Goatstown Roa, Dublin 14",6,2,2,1,2750,5
26,"Marianella, Orwell Road, Rathgar, Dublin 6",5,1,1,1,2500,5
27,"55 Percy Place, Ballsbridge, Dublin 4",1,2,2,1,4500,1
28,"8 Fernleigh Park, Dublin 15, Dublin 15",3,3,3,2,2800,2
29,"Sorrento Road, Dalkey, Co. Dublin",5,2,1,2,2495,5
30,"Rockfort Avenue, Dalkey, Co. Dublin",5,1,1,1,1995,5
31,"Mountjoy Square East, Dublin 1",1,1,1,1,1570,1
32,"Merrion Street, Dublin 2",1,2,2,1,8670,1
33,"Apartment 9, Lock House 2, Charlemont Lane, Dublin 2",1,3,2,1,4700,1
34,"Apartment 7, Lock House 1, Charlemont Lane, Dublin 2",1,2,2,1,3400,1
35,"The Barrington, Lansdowne Place, Ballsbridge, Dublin 4",1,2,2,1,6042,1
36,"Apartment 138, Rathborne Court, Dublin 15, Dublin 15",3,2,2,1,2500,2
37,"Apartment 149, Bloomfield Park, Donnybrook, Dublin 4",1,2,2,1,3200,1
38,"14 Moyne Road, Dublin 6, Ranelagh, Dublin 6",5,1,1,1,1600,5
39,"5 Pembroke Cottages, Dublin 4, Donnybrook, Dublin 4",1,2,2,2,3000,1
40,"Flat 12, Clarinda Park House, Dun Laoghaire, Co. Dublin",5,2,1,1,2600,5
41,"104 Cubes 3, Beacon South Quarter, Sandyford, Dublin 18",6,2,2,1,2395,5
42,"Apartment 194, Burnell Court, Mayne River Road Eas, Clonshaugh, Dublin 17",6,1,1,1,1550,2
43,"Naas Road, Bluebell, Dublin 12",6,0,0,0,1040,4
44,"188 Landen Road, Ballyfermot, Dublin 10",4,3,1,2,1502,4
45,Washington Green,5,4,3,2,3200,5
46,77 Castlefield Hall,5,3,3,2,2662,5
47,"Rockview, Blackglen Road, Sandyford, Dublin 18",6,3,2,1,2400,5
48,"Apartment 5, Howth Lodge, Howth, Dublin 13",3,2,2,1,2557,3
49,"31 Watson Avenue, Killiney, Co. Dublin",5,4,3,2,2600,5
50,"Johnstown House, Glasnevin, Dublin 9",2,1,1,1,1540,2
51,"Beech House, Mespil Estate, Dublin 4",1,1,1,1,2400,1
52,"10 Killarney Street, Dublin 1, North Strand, Dublin 3",1,0,0,0,900,1
53,"Old Cabra Road, Dublin 7",1,1,1,1,2100,1
54,"The Grange, Brewery Rd, Sandyford, Dublin 18",6,2,2,1,3000,5
55,"48 North Circular Road, Dublin 7, North Circular Road, Dublin 7",1,1,1,1,1750,1
56,"Gate Lodge, Dundrum Castle, Ballinteer Road, Dundrum, Dublin 14",6,2,2,2,2850,5
57,"College Gate, Castleknock, Dublin 15",3,4,2,2,2600,2
58,"Merchant Square, East Wall, Dublin 3",3,2,1,2,2500,3
59,"Apartment 90, Harbour View, Harbour Square, Dun Laoghaire, Co. Dublin",5,1,2,1,2673,5
60,"29 Oaklands Crescent, Rathgar, Dublin 6",5,2,1,2,2300,5
61,"Orwell Hall, Marianella, Rathgar, Dublin 6",5,2,2,1,3529,5
62,"Apt. 26 The Lime, Rockfield, Dundrum, Dublin 14",6,2,2,1,2350,5
63,"Apartment 613, The Cubes 3, Beacon South Quarter, Sandyford, Dublin 18",6,1,1,1,2100,5
64,"17 Knocklyon Grove, Templeogue, Knocklyon, Dublin 16",6,2,2,2,2244,5
65,"28 gardiner place , Dublin 1",1,1,1,1,1700,1
66,"Saint Maelruan's Park, Tallaght, Dublin 24",6,3,1,2,2800,6
67,"123 Oliver Plunkett Road, Monkstown, Co. Dublin",5,2,1,2,2200,5
68,"Cloragh Mills, Edmondstown Road, Rathfarnham, Dublin 14",6,2,2,1,1769,5
69,"Apartment 43, The Moyle, Prospect Hill, Finglas, Dublin 11",6,1,1,1,1600,2
70,"92 Bridge Water Quay, Islandbridge, Dublin 8",1,2,1,1,2024,1
71,"Apartment Block 1/2, Gracepark Manor, Drumcondra, Dublin 3",3,2,2,1,2400,3
72,"Apartment 25, Shelbourne Park Mews, Dublin 4",1,2,1,1,2224,1
73,"Longford Terrace, Monkstown, Monkstown, Co. Dublin",5,4,3,2,8500,5
74,"Apartment 40, Brooklands, Ballsbridge, Dublin 4",1,2,1,1,2500,1
75,"Ross, Seafield Road, Killiney, Co. Dublin",5,3,3,2,6000,5
76,"Honeysuckle Mews, 33A Park Avenue, Sandymount, Dublin 4",1,3,3,2,7000,1
77,"Park House, Eglinton Terrace",5,1,2,1,1800,5
78,"Grange View Walk, Clondalkin, Dublin 22",6,3,2,2,2300,4
79,"Cedarbrook Avenue, Cherry Orchard, Dublin 22",6,2,1,1,1671,4
80,"Kilwarden Court, Clondalkin, Dublin 22",6,2,1,1,1900,4
81,"Virginia Heights, Tallaght, Dublin 24",6,2,2,1,1950,6
82,"Cherryfield Park, Hartstown, Dublin 15",3,3,1,2,2153,2
83,"Armagh Road, Crumlin, Dublin 12",6,1,2,1,1750,4
84,"Belfry Avenue, Citywest, Dublin 24, Co. Dublin",6,1,1,1,1500,6
85,"Cabra Drive, Cabra, Dublin 7",1,4,1,2,3000,1
86,"Killinarden Heights, Tallaght, Dublin 24",6,3,1,2,2300,6
87,"Rugby Road, Ranelagh, Dublin 6",5,2,1,2,2482,5
88,"Ellensborough Lodge, Tallaght, Dublin 24",6,2,1,1,1950,6
89,"Kilclare Drive, Tallaght, Dublin 24",6,2,2,2,2100,6
90,"Grange View Walk, Clondalkin, Dublin 22",6,3,2,1,2300,4
91,"The Maples, Dunstaffneage, Stillorgan, Co. Dublin",5,1,1,1,1683,5
92,"Wellington Quay, Dublin 2",1,1,2,1,2206,1
93,"Castlegrange, Clondalkin, Dublin 22",6,3,1,2,2100,4
94,"Bertram Court, Dublin 8",1,1,1,1,1800,1
95,"The Granary, Distillery Lofts, Drumcondra, Dublin 8, Dublin 3",1,2,2,1,3000,1
96,"Beaumont Avenue, Churchtown, Dublin 14",6,3,3,2,4000,5
97,"Kilcronan Avenue, Clondalkin, Dublin 22",6,3,1,2,2400,4
98,"Elm Mount Road, Beaumont, Dublin 9",2,3,1,2,2600,2
99,"Blessington Street, Dublin 7",1,1,1,1,1450,1
100,"Geraldstown Woods, Santry, Dublin 9",2,2,2,1,2100,2
101,"Willow Drive, Clondalkin, Dublin 22",6,3,1,2,2500,4
102,"The Granary, Distillery Lofts, Drumcondra, Dublin 3",3,3,3,1,5000,3
103,"Glasaree Road, Finglas East",5,3,1,2,2500,5
104,"Seagrave Drive, Finglas, Dublin 11",6,2,2,1,1850,2
105,"Grange View Drive, Clondalkin, Dublin 22",6,3,2,2,2400,4
106,"The Oaks, Herbert Park Lane, Anglesea Road, Ballsbridge, Dublin 4",1,1,1,1,2200,1
107,"Wellmount Court, Finglas West, Finglas, Dublin 11",6,0,0,0,1100,2
108,"Belfry Manor, Citywest, Co. Dublin",5,2,1,1,1900,5
109,"Knockmaree, Chapelizod, Dublin 20",4,2,1,1,2229,4
110,"Cedarbrook Way, Cherry Orchard, Dublin 10, Dublin 22",4,2,2,1,1916,4
111,"The Ash, Parkview",5,2,2,1,2600,5
112,"Dunsoghly Park, Finglas, Dublin 11",6,3,2,2,2044,2
113,"Grange View Walk, Clondalkin, Dublin 22",6,3,2,2,2300,4
114,"Cedarbrook Avenue, Cherry Orchard, Dublin 22",6,2,1,1,1671,4
115,"Kilwarden Court, Clondalkin, Dublin 22",6,2,1,1,1900,4
116,"Virginia Heights, Tallaght, Dublin 24",6,2,2,1,1950,6
117,"Cherryfield Park, Hartstown, Dublin 15",3,3,1,2,2153,2
118,"Croaghpatrick Rd, Navan Road (D7), Dublin 7",1,3,1,2,2400,1
119,"13 Inverness Road, Fairview",5,5,3,2,4750,5
120,"Apartment 37, The Lighthouse, Dun Laoghaire, Co. Dublin",5,2,2,1,2600,5
121,"6 Camberely Mews, Churchtown Road, Churchtown, Dublin 14",6,4,3,2,3708,5
122,"6 Camberely Mews, Churchtown Road, Churchtown, Dublin 14",6,4,3,2,3708,5
123,"Flat 12, 42 Rathmines Road Lower, Rathmines, Dublin 6",5,0,0,0,1550,5
